cod_tess_ins_lez_f,cod_corso_lez_f,cod_lez_f,cf_allievo_f
61377,92683,82256,CAROSS15G08A778I
61377,92683,69296,MINGLA13K08T035E
61377,92683,10647,CAROSS15G08A778I
61377,92683,56484,BOOHUA45O42S855J
61377,92683,19468,NICFIE89H20K555X
61377,92683,78412,BOOHUA45O42S855J
61377,92683,99410,CORSWE04T31V969G
61377,92683,39800,TALWIN38R95D542L
61377,92683,81914,CAROSS15G08A778I
61377,92683,01409,BOOHUA45O42S855J
61377,92683,27123,CORSWE04T31V969G
61377,92683,57594,BOOHUA45O42S855J
61377,92683,90870,CAROSS15G08A778I
61377,92683,07045,CORSWE04T31V969G
61377,92683,62862,BOOHUA45O42S855J
61377,92683,41834,BOOHUA45O42S855J
61377,92683,33699,TALWIN38R95D542L
61377,92683,01455,CORSWE04T31V969G
61377,92683,55489,TALWIN38R95D542L
61377,92683,39512,RUTSHI96G30F109N
61377,92683,32031,RUTSHI96G30F109N
61377,92683,07363,BOOHUA45O42S855J
61377,92683,46179,MINGLA13K08T035E
61377,92683,12978,RUTSHI96G30F109N
61377,92683,89641,TALWIN38R95D542L
61377,92683,25071,MINGLA13K08T035E
61377,92683,38601,CORSWE04T31V969G
61377,92683,44157,NICFIE89H20K555X
61377,92683,89360,CORSWE04T31V969G
61377,92683,18067,MINGLA13K08T035E
61377,92683,71833,CORSWE04T31V969G
61377,92683,96653,RUTSHI96G30F109N
61377,92683,32526,BOOHUA45O42S855J
61377,92683,29217,BOOHUA45O42S855J
61377,92683,53709,NICFIE89H20K555X
61377,92683,24043,CAROSS15G08A778I
61377,92683,10852,TALWIN38R95D542L
61377,92683,53730,RUTSHI96G30F109N
61377,92683,01697,BOOHUA45O42S855J
61377,92683,11865,NICFIE89H20K555X
61377,92683,91618,CAROSS15G08A778I
61377,92683,78019,NICFIE89H20K555X
61377,92683,03562,MINGLA13K08T035E
61377,92683,97655,CORSWE04T31V969G
61377,92683,80765,BOOHUA45O42S855J
61377,92683,58281,MINGLA13K08T035E
61377,92683,78741,BOOHUA45O42S855J
61377,92683,75781,BOOHUA45O42S855J
61377,92683,99837,CORSWE04T31V969G
61377,92683,35908,NICFIE89H20K555X
61377,92683,41113,BOOHUA45O42S855J
61377,92683,12492,BOOHUA45O42S855J
61377,92683,69684,NICFIE89H20K555X
61377,92683,77102,BOOHUA45O42S855J
61377,92683,28911,BOOHUA45O42S855J
61377,92683,26875,BOOHUA45O42S855J
61377,92683,95219,TALWIN38R95D542L
61377,92683,96741,TALWIN38R95D542L
61377,92683,71985,TALWIN38R95D542L
61377,92683,39059,CORSWE04T31V969G
61377,92683,79648,BOOHUA45O42S855J
61377,92683,96120,MINGLA13K08T035E
61377,92683,11509,TALWIN38R95D542L
61377,92683,71485,TALWIN38R95D542L
61377,92683,74065,MINGLA13K08T035E
61377,92683,31152,CAROSS15G08A778I
61377,92683,31519,CORSWE04T31V969G
61377,92683,88230,CORSWE04T31V969G
61377,92683,45387,NICFIE89H20K555X
61377,92683,02725,NICFIE89H20K555X
61377,92683,64379,CAROSS15G08A778I
61377,92683,02716,TALWIN38R95D542L
61377,92683,49092,CAROSS15G08A778I
61377,92683,40547,TALWIN38R95D542L
61377,92683,97436,BOOHUA45O42S855J
61377,92683,81663,CAROSS15G08A778I
61377,92683,72032,NICFIE89H20K555X
61377,92683,50411,RUTSHI96G30F109N
61377,92683,91859,MINGLA13K08T035E
61377,92683,21837,NICFIE89H20K555X
61377,92683,62853,BOOHUA45O42S855J
61377,92683,23284,CAROSS15G08A778I
61377,92683,17897,NICFIE89H20K555X
61377,92683,92260,BOOHUA45O42S855J
61377,92683,94273,BOOHUA45O42S855J
