cod_tess_ins_lez_f,cod_corso_lez_f,cod_lez_f,cf_allievo_f
93796,77304,11762,JORGOO80A70I350B
93796,77304,78942,JORGOO80A70I350B
93796,77304,60430,MINGLA13K08T035E
93796,77304,24061,MARKIV72D79R963D
93796,77304,57418,RACBIN09L33P571R
93796,77304,86796,MALWIT04X25N110F
93796,77304,22984,MARKIV72D79R963D
93796,77304,98980,MARKIV72D79R963D
93796,77304,54408,MALWIT04X25N110F
93796,77304,88168,RACBIN09L33P571R
93796,77304,00441,JORGOO80A70I350B
93796,77304,61432,MALWIT04X25N110F
93796,77304,15257,LAUJES96U04D810C
93796,77304,71282,JORGOO80A70I350B
93796,77304,42459,RACBIN09L33P571R
93796,77304,53962,JORGOO80A70I350B
93796,77304,96780,MALWIT04X25N110F
93796,77304,07959,MARKIV72D79R963D
93796,77304,79268,MINGLA13K08T035E
93796,77304,42140,CELLAM96Z25J052F
93796,77304,26777,LAUJES96U04D810C
93796,77304,22148,LAUJES96U04D810C
93796,77304,44284,MALWIT04X25N110F
93796,77304,22577,LAUJES96U04D810C
93796,77304,41646,JORGOO80A70I350B
93796,77304,41634,MALWIT04X25N110F
93796,77304,99945,RACBIN09L33P571R
93796,77304,22571,LIECRO95O95J441Y
93796,77304,21931,MINGLA13K08T035E
93796,77304,12768,MINGLA13K08T035E
93796,77304,60677,CELLAM96Z25J052F
93796,77304,50943,JORGOO80A70I350B
93796,77304,83973,JORGOO80A70I350B
93796,77304,56970,CELLAM96Z25J052F
93796,77304,33072,JORGOO80A70I350B
93796,77304,40230,CELLAM96Z25J052F
93796,77304,35606,MALWIT04X25N110F
93796,77304,09753,LAUJES96U04D810C
93796,77304,52303,MARKIV72D79R963D
93796,77304,71939,MARKIV72D79R963D
93796,77304,91544,LIECRO95O95J441Y
93796,77304,88195,MARKIV72D79R963D
93796,77304,29703,MARKIV72D79R963D
93796,77304,66836,JORGOO80A70I350B
93796,77304,69853,MALWIT04X25N110F
93796,77304,84067,MINGLA13K08T035E
93796,77304,58155,MINGLA13K08T035E
93796,77304,82561,RACBIN09L33P571R
93796,77304,69723,CELLAM96Z25J052F
93796,77304,56551,JORGOO80A70I350B
93796,77304,43379,LAUJES96U04D810C
93796,77304,10480,LIECRO95O95J441Y
93796,77304,78952,MINGLA13K08T035E
93796,77304,30402,MARKIV72D79R963D
93796,77304,87985,MARKIV72D79R963D
93796,77304,87057,LIECRO95O95J441Y
93796,77304,71681,CELLAM96Z25J052F
93796,77304,16441,LAUJES96U04D810C
93796,77304,79992,CELLAM96Z25J052F
93796,77304,46676,RACBIN09L33P571R
93796,77304,22401,JORGOO80A70I350B
93796,77304,58896,LIECRO95O95J441Y
93796,77304,47362,MARKIV72D79R963D
93796,77304,99080,JORGOO80A70I350B
93796,77304,08447,MALWIT04X25N110F
93796,77304,32152,CELLAM96Z25J052F
93796,77304,33181,CELLAM96Z25J052F
93796,77304,68271,LIECRO95O95J441Y
93796,77304,80838,MINGLA13K08T035E
93796,77304,73519,CELLAM96Z25J052F
93796,77304,55742,MARKIV72D79R963D
93796,77304,48224,MALWIT04X25N110F
93796,77304,68621,CELLAM96Z25J052F
93796,77304,30613,MALWIT04X25N110F
93796,77304,56699,LAUJES96U04D810C
93796,77304,32242,LIECRO95O95J441Y
93796,77304,74709,RACBIN09L33P571R
93796,77304,29580,MARKIV72D79R963D
93796,77304,93196,JORGOO80A70I350B
93796,77304,58230,LAUJES96U04D810C
93796,77304,47198,LIECRO95O95J441Y
93796,77304,91384,MINGLA13K08T035E
93796,77304,27414,MARKIV72D79R963D
93796,77304,92853,LAUJES96U04D810C
93796,77304,06264,LAUJES96U04D810C
