cod_tess_ins_lez_f,cod_corso_lez_f,cod_lez_f,cf_allievo_f
45514,72742,70834,KERMAS11J99D312N
45514,72742,93010,KERMAS11J99D312N
45514,72742,89196,MALWIT04X25N110F
45514,72742,48085,MALWIT04X25N110F
45514,72742,05093,GARMAC69Y71P582N
45514,72742,28018,MADOBI22M60M374B
45514,72742,29321,EVAWEN24L67H395E
45514,72742,81997,HAMDIK32O35N687W
45514,72742,58080,JORGOO80A70I350B
45514,72742,31951,KERMAS11J99D312N
45514,72742,85880,EVAWEN24L67H395E
45514,72742,56235,EVAWEN24L67H395E
45514,72742,35388,EVAWEN24L67H395E
45514,72742,56329,KERMAS11J99D312N
45514,72742,24570,GARMAC69Y71P582N
45514,72742,30018,KERMAS11J99D312N
45514,72742,59609,KATAND60C44Y246B
45514,72742,87336,MALWIT04X25N110F
45514,72742,19530,JORGOO80A70I350B
45514,72742,53499,MALWIT04X25N110F
45514,72742,18443,JORGOO80A70I350B
45514,72742,94902,HAMDIK32O35N687W
45514,72742,78639,KERMAS11J99D312N
45514,72742,15677,MADOBI22M60M374B
45514,72742,91893,JORGOO80A70I350B
45514,72742,39469,KERMAS11J99D312N
45514,72742,01392,MADOBI22M60M374B
45514,72742,27606,KERMAS11J99D312N
45514,72742,50711,MADOBI22M60M374B
45514,72742,70061,MADOBI22M60M374B
45514,72742,64746,MADOBI22M60M374B
45514,72742,16539,JORGOO80A70I350B
45514,72742,80280,MALWIT04X25N110F
45514,72742,96874,JORGOO80A70I350B
45514,72742,05322,HAMDIK32O35N687W
45514,72742,61682,GARMAC69Y71P582N
45514,72742,35049,JORGOO80A70I350B
45514,72742,47546,JORGOO80A70I350B
45514,72742,60503,HAMDIK32O35N687W
45514,72742,67916,GARMAC69Y71P582N
45514,72742,87866,MALWIT04X25N110F
45514,72742,37928,GARMAC69Y71P582N
45514,72742,52607,MALWIT04X25N110F
45514,72742,49184,GARMAC69Y71P582N
45514,72742,71200,KERMAS11J99D312N
45514,72742,33793,EVAWEN24L67H395E
45514,72742,51318,MADOBI22M60M374B
45514,72742,59565,KATAND60C44Y246B
45514,72742,33377,JORGOO80A70I350B
45514,72742,01114,MALWIT04X25N110F
45514,72742,64191,MADOBI22M60M374B
45514,72742,71721,EVAWEN24L67H395E
45514,72742,64365,KATAND60C44Y246B
45514,72742,72907,HAMDIK32O35N687W
45514,72742,00423,KERMAS11J99D312N
45514,72742,56171,MALWIT04X25N110F
45514,72742,90984,GARMAC69Y71P582N
45514,72742,46796,KERMAS11J99D312N
45514,72742,05990,MADOBI22M60M374B
45514,72742,37652,HAMDIK32O35N687W
45514,72742,84544,KERMAS11J99D312N
45514,72742,72135,MADOBI22M60M374B
45514,72742,76187,KERMAS11J99D312N
45514,72742,20931,MADOBI22M60M374B
45514,72742,34906,EVAWEN24L67H395E
45514,72742,54266,JORGOO80A70I350B
45514,72742,33173,HAMDIK32O35N687W
45514,72742,19550,MALWIT04X25N110F
45514,72742,52402,HAMDIK32O35N687W
45514,72742,50465,HAMDIK32O35N687W
45514,72742,14318,HAMDIK32O35N687W
45514,72742,47781,GARMAC69Y71P582N
45514,72742,78883,KERMAS11J99D312N
45514,72742,77452,GARMAC69Y71P582N
45514,72742,14335,MADOBI22M60M374B
45514,72742,06693,EVAWEN24L67H395E
45514,72742,76625,MADOBI22M60M374B
45514,72742,41301,MALWIT04X25N110F
45514,72742,67589,EVAWEN24L67H395E
45514,72742,81902,MALWIT04X25N110F
45514,72742,18647,EVAWEN24L67H395E
45514,72742,31712,HAMDIK32O35N687W
45514,72742,95731,EVAWEN24L67H395E
45514,72742,60576,KATAND60C44Y246B
45514,72742,74979,KATAND60C44Y246B
