cod_tess_ins_lez_f,cod_corso_lez_f,cod_lez_f,cf_allievo_f
26344,63806,83717,OLIRIC91S20H654B
26344,63806,97254,EVAWEN24L67H395E
26344,63806,17492,UDECRU25W80T213G
26344,63806,61213,JAYEIS32T61V223Y
26344,63806,46162,OLIRIC91S20H654B
26344,63806,33591,DELMUS79M74T240T
26344,63806,71029,JAYEIS32T61V223Y
26344,63806,94208,UDECRU25W80T213G
26344,63806,66914,GODFUR40E06G083X
26344,63806,10532,NICVID78G98K901F
26344,63806,38231,UDECRU25W80T213G
26344,63806,48175,JAYEIS32T61V223Y
26344,63806,59395,CORSWE04T31V969G
26344,63806,02754,UDECRU25W80T213G
26344,63806,57334,JACSTE10K48L184U
26344,63806,89288,EVAWEN24L67H395E
26344,63806,09549,GODFUR40E06G083X
26344,63806,61148,GODFUR40E06G083X
26344,63806,23794,OLIRIC91S20H654B
26344,63806,19746,UDECRU25W80T213G
26344,63806,24196,JACSTE10K48L184U
26344,63806,87008,NICVID78G98K901F
26344,63806,20980,UDECRU25W80T213G
26344,63806,39375,NICVID78G98K901F
26344,63806,88586,NICVID78G98K901F
26344,63806,78324,NICVID78G98K901F
26344,63806,11613,CORSWE04T31V969G
26344,63806,38199,OLIRIC91S20H654B
26344,63806,31978,DELMUS79M74T240T
26344,63806,10798,DELMUS79M74T240T
26344,63806,17763,GODFUR40E06G083X
26344,63806,58287,OLIRIC91S20H654B
26344,63806,86599,EVAWEN24L67H395E
26344,63806,50883,JAYEIS32T61V223Y
26344,63806,34005,EVAWEN24L67H395E
26344,63806,96670,DELMUS79M74T240T
26344,63806,10447,UDECRU25W80T213G
26344,63806,26006,OLIRIC91S20H654B
26344,63806,98278,EVAWEN24L67H395E
26344,63806,66938,JACSTE10K48L184U
26344,63806,74492,JACSTE10K48L184U
26344,63806,69897,JACSTE10K48L184U
26344,63806,45257,DELMUS79M74T240T
26344,63806,62236,DELMUS79M74T240T
26344,63806,46564,UDECRU25W80T213G
26344,63806,26678,JACSTE10K48L184U
26344,63806,33526,NICVID78G98K901F
26344,63806,70398,JACSTE10K48L184U
26344,63806,15039,CORSWE04T31V969G
26344,63806,58384,OLIRIC91S20H654B
26344,63806,18798,DELMUS79M74T240T
26344,63806,69816,EVAWEN24L67H395E
26344,63806,20990,GODFUR40E06G083X
26344,63806,26453,NICVID78G98K901F
26344,63806,32368,EVAWEN24L67H395E
26344,63806,29812,EVAWEN24L67H395E
26344,63806,84989,DELMUS79M74T240T
26344,63806,35642,CORSWE04T31V969G
26344,63806,47311,CORSWE04T31V969G
26344,63806,93628,GODFUR40E06G083X
26344,63806,31576,CORSWE04T31V969G
26344,63806,88958,JAYEIS32T61V223Y
26344,63806,56259,JAYEIS32T61V223Y
26344,63806,26557,GODFUR40E06G083X
26344,63806,17766,JACSTE10K48L184U
26344,63806,39513,JAYEIS32T61V223Y
26344,63806,46536,CORSWE04T31V969G
26344,63806,14678,NICVID78G98K901F
26344,63806,33807,EVAWEN24L67H395E
26344,63806,05914,EVAWEN24L67H395E
26344,63806,01130,EVAWEN24L67H395E
26344,63806,59824,DELMUS79M74T240T
26344,63806,46347,OLIRIC91S20H654B
26344,63806,59489,GODFUR40E06G083X
26344,63806,24866,DELMUS79M74T240T
26344,63806,15869,UDECRU25W80T213G
26344,63806,29518,JACSTE10K48L184U
26344,63806,46679,OLIRIC91S20H654B
26344,63806,65065,UDECRU25W80T213G
26344,63806,62456,JACSTE10K48L184U
26344,63806,87536,GODFUR40E06G083X
26344,63806,66208,CORSWE04T31V969G
26344,63806,74057,NICVID78G98K901F
26344,63806,72841,JAYEIS32T61V223Y
26344,63806,00274,OLIRIC91S20H654B
