cod_tess_ins_lez_f,cod_corso_lez_f,cod_lez_f,cf_allievo_f
45514,60258,77844,KERMAS11J99D312N
45514,60258,60019,PERDUL50A22W076I
45514,60258,11307,DELMUS79M74T240T
45514,60258,69624,ESSPEN25U76E117L
45514,60258,59855,OTILIP43G02L704C
45514,60258,74938,KRYLOW32R89D891O
45514,60258,80770,DELMUS79M74T240T
45514,60258,52517,ESSPEN25U76E117L
45514,60258,01775,KRYLOW32R89D891O
45514,60258,48693,KERMAS11J99D312N
45514,60258,99364,ESSPEN25U76E117L
45514,60258,04319,KRYLOW32R89D891O
45514,60258,54926,ESSPEN25U76E117L
45514,60258,44756,CHRGUD06S09Z790L
45514,60258,96238,DELMUS79M74T240T
45514,60258,39427,OTILIP43G02L704C
45514,60258,67124,PERDUL50A22W076I
45514,60258,24172,KRYLOW32R89D891O
45514,60258,44075,ESSPEN25U76E117L
45514,60258,73170,ESSPEN25U76E117L
45514,60258,34356,DELMUS79M74T240T
45514,60258,36964,DARGOU72T23V869A
45514,60258,34334,DELMUS79M74T240T
45514,60258,05966,CHRGUD06S09Z790L
45514,60258,79512,DARGOU72T23V869A
45514,60258,82076,PERDUL50A22W076I
45514,60258,70837,DELMUS79M74T240T
45514,60258,15116,DARGOU72T23V869A
45514,60258,58914,OTILIP43G02L704C
45514,60258,78319,ESSPEN25U76E117L
45514,60258,33869,ESSPEN25U76E117L
45514,60258,12285,KRYLOW32R89D891O
45514,60258,41429,ESSPEN25U76E117L
45514,60258,59470,KERMAS11J99D312N
45514,60258,09029,KERMAS11J99D312N
45514,60258,70318,PERDUL50A22W076I
45514,60258,49187,OTILIP43G02L704C
45514,60258,20919,KRYLOW32R89D891O
45514,60258,53280,KRYLOW32R89D891O
45514,60258,25718,DARGOU72T23V869A
45514,60258,32080,CHRGUD06S09Z790L
45514,60258,46575,PERDUL50A22W076I
45514,60258,76344,KERMAS11J99D312N
45514,60258,31277,DARGOU72T23V869A
45514,60258,24921,ESSPEN25U76E117L
45514,60258,61131,DELMUS79M74T240T
45514,60258,88686,OTILIP43G02L704C
45514,60258,37966,CHRGUD06S09Z790L
45514,60258,65054,KERMAS11J99D312N
45514,60258,37681,ESSPEN25U76E117L
45514,60258,78074,DARGOU72T23V869A
45514,60258,69234,DARGOU72T23V869A
45514,60258,31526,PERDUL50A22W076I
45514,60258,15810,ESSPEN25U76E117L
45514,60258,28304,OTILIP43G02L704C
45514,60258,96285,CHRGUD06S09Z790L
45514,60258,86265,PERDUL50A22W076I
45514,60258,74572,ESSPEN25U76E117L
45514,60258,89093,DELMUS79M74T240T
45514,60258,38397,KRYLOW32R89D891O
45514,60258,94267,DARGOU72T23V869A
45514,60258,33702,KRYLOW32R89D891O
45514,60258,72865,DELMUS79M74T240T
45514,60258,58567,OTILIP43G02L704C
45514,60258,25223,CHRGUD06S09Z790L
45514,60258,64832,ESSPEN25U76E117L
45514,60258,41944,PERDUL50A22W076I
45514,60258,78594,DARGOU72T23V869A
45514,60258,45794,CHRGUD06S09Z790L
45514,60258,84339,KERMAS11J99D312N
45514,60258,54584,OTILIP43G02L704C
45514,60258,01791,ESSPEN25U76E117L
45514,60258,46374,DELMUS79M74T240T
45514,60258,11617,OTILIP43G02L704C
45514,60258,26806,KRYLOW32R89D891O
45514,60258,54940,PERDUL50A22W076I
45514,60258,97188,PERDUL50A22W076I
45514,60258,03383,DARGOU72T23V869A
45514,60258,27524,ESSPEN25U76E117L
45514,60258,55279,ESSPEN25U76E117L
45514,60258,51857,KERMAS11J99D312N
45514,60258,53138,PERDUL50A22W076I
45514,60258,28364,KERMAS11J99D312N
45514,60258,93671,DELMUS79M74T240T
45514,60258,30128,PERDUL50A22W076I
